ปีการศึกษา,สถาบัน,วิทยาเขต,รหัสหลักสูตร,คณะ/สำนักวิชา,ชื่อหลักสูตร,รายละเอียด,สาขาวิชา/วิชาเอก,รหัสรับร่วม,รับ,สมัคร,ผ่าน,คะแนนต่ำสุด,คะแนนสูงสุด,เกรดเฉลี่ย,TGAT,TGAT1,TGAT2,TGAT3,TPAT3,A-Level คณิตศาสตร์ประยุกต์ 1,A-Level วิทยาศาสตร์ประยุกต์,A-Level ฟิสิกส์,A-Level เคมี,A-Level ชีววิทยา,A-Level สังคมศาสตร์,A-Level ภาษาไทย,A-Level ภาษาอังกฤษ,ค่าน้ำหนักลำดับที่เลือก
2566,มหาวิทยาลัยธรรมศาสตร์,ศูนย์รังสิต,10050209220201B,คณะวิทยาศาสตร์และเทคโนโลยี,วท.บ.สาขาวิชาวิทยาการคอมพิวเตอร์ (โครงการพิเศษ),ผู้สมัครกลุ่มพื้นฐานคณิตศาสตร์ภาษาต่างประเทศ,,3092,65,56,13,35.7165,47.1665,,,15,15,5,15,50,,,,,,,,
2566,มหาวิทยาลัยธรรมศาสตร์,ศูนย์รังสิต,10050209220201B,คณะวิทยาศาสตร์และเทคโนโลยี,วท.บ.สาขาวิชาวิทยาการคอมพิวเตอร์ (โครงการพิเศษ),ผู้สมัครกลุ่มพื้นฐานวิทยาศาสตร์คณิตศาสตร์,,3092,65,166,52,35.5583,55.2249,,,15,15,5,15,50,,,,,,,,
2566,มหาวิทยาลัยศิลปากร,สนามจันทร์,10080207220201A,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์),,,0,40,"1,405",40,66.9830,74.0830,20,60,,,,20,,,,,,,,,
2566,มหาวิทยาลัยศิลปากร,สนามจันทร์,10080207220201B,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์),,,0,10,267,10,64.1276,70.4000,20,80,,,,,,,,,,,,,
2566,มหาวิทยาลัยศรีนครินทรวิโรฒ,วิทยาเขตหลัก,10090102220201A,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,Admission,,3001,9,42,0,0.0000,0.0000,,90,,,,10,,,,,,,,,
2566,มหาวิทยาลัยศรีนครินทรวิโรฒ,วิทยาเขตหลัก,10090102220201A,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,Admission,,3001,9,840,9,71.1577,80.6828,,90,,,,10,,,,,,,,,
2566,มหาวิทยาลัยแม่โจ้,วิทยาเขตเชียงใหม่,10130104220201A,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,Admission,,3401,20,247,20,64.7583,75.2760,50,5,5,5,5,10,,10,,,,,,10,
2566,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,บางมด,10140102211601A,คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี,วท.บ.สาขาวิทยาการคอมพิวเตอร์ประยุกต์-มัลติมีเดีย-วท.บ.4ปี,รอบที่ 3 แอดมิชชั่น,,0,2,238,2,77.5388,83.9498,20,20,20,20,20,,,,,,,,,,
2566,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,กรุงเทพฯ,10150104210302A,คณะวิทยาศาสตร์ประยุกต์,วท.บ.คณิตศาสตร์เชิงวิทยาการคอมพิวเตอร์,การคัดเลือกผ่านระบบกลาง Admissions,,0,60,359,60,54.1105,71.0690,,50,,,,50,,,,,,,,,
2566,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,กรุงเทพฯ,10150104210302B,คณะวิทยาศาสตร์ประยุกต์,วท.บ.คณิตศาสตร์เชิงวิทยาการคอมพิวเตอร์,การคัดเลือกผ่านระบบกลาง Admissions,,0,40,34,9,39.3605,53.5830,,50,,,,50,,,,,,,,,
